race_eth,component,d1970_NB,d1970_FB,d1980_NB,d1980_FB,d1990_NB,d1990_FB,d2000_NB,d2000_FB,d2010_NB,d2010_FB,d2020_NB,d2020_FB
White,Children,1.1294630893336388,0.6844540918614993,0.7976822934784833,0.6204335349379744,0.6706941619938193,0.5926784053554621,0.6560801344412555,0.6482588042999236,0.5744349600578186,0.6186605127296083,0.5286128512405939,0.6066690152938444
White,Spouses,0.7157779650681819,0.6666214443992222,0.6615210460619206,0.6378762845174233,0.6582390420325949,0.6510302037102808,0.6530496450273253,0.6677477839327454,0.6163646199561387,0.6506299032166187,0.6108114158820449,0.6619726699842189
White,Other_adults,0.48683551284989107,0.5050121346417643,0.5305668624281241,0.5118428983090998,0.49632360126452285,0.5524299408963949,0.4233955346066138,0.5010706575402072,0.49355703103997944,0.5413734701683359,0.5122594409574561,0.5299725703924985
White,Seniors,0.07648666073724235,0.07460166719425979,0.056851419100042974,0.06813377272550084,0.055322511030450085,0.06840680656270323,0.053341289169024926,0.06582612309563257,0.06346381752335904,0.06688035995794989,0.08950825702661855,0.08885547705597567
Black,Children,1.7033573101649584,1.2561441835062808,1.2753832484548313,1.1455835162979227,1.035810149722478,1.1166486921319843,0.9758011791474437,1.1311134536261451,0.7710947839301523,1.013641703598092,0.623669019715897,0.9571051907468004
Black,Spouses,0.5348771533465123,0.5079191698525396,0.43253713326529236,0.4578956257388955,0.4150355058005456,0.4863156662700193,0.41214521867025355,0.49145744779835104,0.3540727145245963,0.4724235065973233,0.34363918980032526,0.4925606745477587
Black,Other_adults,0.828247254846587,0.8170398689240852,0.9437418726459815,1.00908630298936,0.9234302065030104,1.0998743175947008,0.7441810205030861,0.9832768633395893,0.7656424189351921,0.9665612581629839,0.7693612424738864,0.9553271006305476
Black,Seniors,0.10480588733657824,0.08574549426542873,0.09048497313763787,0.0702584022969093,0.1002322346071499,0.09041423174423584,0.09524936831386945,0.0975355556715466,0.10234527029329234,0.10217645781987904,0.14295693530562187,0.142154713476099
Hispanic,Children,1.9864854993060121,1.5038297295465328,1.4123491784104634,1.5010888932884576,1.1733155935717678,1.5533005754983698,1.1403612894366995,1.615727559395377,1.0020580588686998,1.3503527424540747,0.859641184961086,1.0623697277251176
Hispanic,Spouses,0.6656439476952297,0.6570866942316816,0.5783662693015441,0.6157837120197515,0.5568204875761238,0.5855292865832105,0.5298072949508327,0.6016292532102241,0.45099905388653455,0.5935111458984874,0.43898773575304206,0.6134098925691468
Hispanic,Other_adults,0.810833515961721,0.8811767098217311,0.8756967224044591,1.049751359660871,0.9681757834622936,1.5684583921558313,0.9635194738900926,1.5538237650120703,1.060690033834695,1.2446430780507713,1.1402882571787025,1.142580750252659
Hispanic,Seniors,0.08116005551902988,0.1033688063444723,0.06231355651309248,0.08123027472719438,0.07727915624939125,0.08490573467164082,0.08862054624691315,0.08424919132865626,0.10316554888995469,0.08099942539167593,0.1415987805213238,0.11708334086496545
AAPI,Children,1.27112606372452,1.251667407736772,0.8230726122808422,1.2876613802280001,0.7165938782031819,1.139630655428868,0.6796020642971117,0.9855580563475889,0.6479357818388304,0.8433449323943367,0.5997070739146468,0.7414385688989444
AAPI,Spouses,0.6368493963981793,0.674744330813695,0.5610172657646839,0.672696323467712,0.5436616297116302,0.6477792996814338,0.47047025544433113,0.6593022946635114,0.4009177927828634,0.6670153313745356,0.41686897990178945,0.6745388691879933
AAPI,Other_adults,0.8980803483079359,0.8519341929746554,0.9416646652256291,0.9923520456479783,0.9994883072227327,1.2095002445639746,1.040710097705139,1.0756250459448848,1.2602461437537362,0.9605846969293417,1.2020337173525233,0.9041022472929068
AAPI,Seniors,0.12863645359192558,0.08136949755446865,0.10506231153096897,0.09430479135948981,0.12461909251186401,0.12712262280070064,0.13591061445776775,0.14027258806950152,0.157081085656545,0.13968135736262147,0.21458756769768073,0.1732922843213182
