decade,us_born_mean,fb_mean_raw,fb_mean_adjusted,gap_raw,gap_adjusted,explained_pct
1970,4.210281403219856,3.489938491166703,4.134232641363799,-0.720342912053153,-0.07604876185605658,89.44270005526964
1980,3.62563578795271,3.722705800672502,4.040565189197276,0.09707001271979188,0.41492940124456545,-327.4537414992677
1990,3.40988245793177,4.11605887081647,4.296875495798106,0.7061764128847003,0.8869930378663358,-25.605021873076627
2000,3.36737173930164,4.201816182421534,4.368740556013092,0.8344444431198941,1.0013688167114525,-20.004252526081537
2010,3.317249175941889,3.836920778675894,4.009321509666238,0.5196716027340051,0.6920723337243491,-33.17493780367051
2020,3.3093023625775784,3.660930406883329,3.890880269014132,0.35162804430575045,0.5815779064365536,-65.39576858404823
2023,3.2707683696792054,3.63373635860392,3.876386936774374,0.3629679889247148,0.6056185670951688,-66.85178461310082
