term,decade,main_coef,interaction_coef,estimate,mult_effect,term_label
AGE,1970,-0.01114974589574452,0,-0.01114974589574452,0.9889121821466861,Age
AGE,1980,-0.01114974589574452,0.00110694767702323,-0.01004279821872129,0.9900074622865563,Age
AGE,1990,-0.01114974589574452,8.085339491308797e-4,-0.01034121194661364,0.9897120745451647,Age
AGE,2000,-0.01114974589574452,5.196899216090223e-4,-0.010630055974135497,0.9894262434057621,Age
AGE,2010,-0.01114974589574452,7.29393843951657e-4,-0.010420352051792862,0.989633751726767,Age
AGE,2020,-0.01114974589574452,8.957109277451109e-4,-0.010254034967999408,0.9897983584144504,Age
age_at_arrival,1970,-1.154375330550591e-5,0,-1.154375330550591e-5,0.9999884563133233,Age at arrival
age_at_arrival,1980,-1.154375330550591e-5,0.0016627276801397094,0.0016511839268342034,1.0016525478816245,Age at arrival
age_at_arrival,1990,-1.154375330550591e-5,0.0041489227023792695,0.004137378949073764,1.0041459497174536,Age at arrival
age_at_arrival,2000,-1.154375330550591e-5,0.005381654235113475,0.005370110481807969,1.0053845553704086,Age at arrival
age_at_arrival,2010,-1.154375330550591e-5,0.005090183349134928,0.0050786395958294225,1.0050915577455186,Age at arrival
age_at_arrival,2020,-1.154375330550591e-5,0.004352860987781164,0.004341317234475658,1.0043507544037806,Age at arrival
