country,decade,std_mean,continent,color_group
Colombia,1980,4.128457043374309,South America,Colombia
Colombia,1990,3.9958331358417563,South America,Colombia
Colombia,2000,4.01408110604555,South America,Colombia
Colombia,2010,3.537542863654938,South America,Colombia
Colombia,2020,3.520582805680193,South America,Colombia
US-born,1970,4.210281403219856,South America,US-born
US-born,1980,3.62563578795271,South America,US-born
US-born,1990,3.4098824579317695,South America,US-born
US-born,2000,3.36737173930164,South America,US-born
US-born,2010,3.3172491759418894,South America,US-born
US-born,2020,3.3093023625775784,South America,US-born
Venezuela,1970,4.151995075392838,South America,Venezuela
Venezuela,1980,3.551768853771281,South America,Venezuela
Venezuela,1990,3.4960846933529717,South America,Venezuela
Venezuela,2000,3.529327716881427,South America,Venezuela
Venezuela,2010,3.405081925123529,South America,Venezuela
Venezuela,2020,3.583496446272113,South America,Venezuela
China,1970,4.143243053555389,Asia,China
China,1980,4.076336859183176,Asia,China
China,1990,4.19285251195366,Asia,China
China,2000,3.757957814710097,Asia,China
China,2010,3.553271355374771,Asia,China
China,2020,3.511709801071051,Asia,China
India,1970,3.362423650181873,Asia,India
India,1980,3.8902249573114283,Asia,India
India,1990,4.119099251574719,Asia,India
India,2000,3.8166537472409483,Asia,India
India,2010,3.6319103486994053,Asia,India
India,2020,3.5247292419884526,Asia,India
Korea,1970,3.7646966670548774,Asia,Korea
Korea,1980,4.175157777208836,Asia,Korea
Korea,1990,3.86123753248754,Asia,Korea
Korea,2000,3.4305760599961994,Asia,Korea
Korea,2010,3.2363642504120276,Asia,Korea
Korea,2020,3.210577116209338,Asia,Korea
Philippines,1970,4.392702555746924,Asia,Philippines
Philippines,1980,4.677092213662734,Asia,Philippines
Philippines,1990,4.607769865241855,Asia,Philippines
Philippines,2000,4.4805391212943055,Asia,Philippines
Philippines,2010,4.234210668947603,Asia,Philippines
Philippines,2020,4.160969772908808,Asia,Philippines
US-born,1970,4.210281403219856,Asia,US-born
US-born,1980,3.62563578795271,Asia,US-born
US-born,1990,3.4098824579317695,Asia,US-born
US-born,2000,3.36737173930164,Asia,US-born
US-born,2010,3.3172491759418894,Asia,US-born
US-born,2020,3.3093023625775784,Asia,US-born
Vietnam,1980,5.694119019029297,Asia,Vietnam
Vietnam,1990,5.153973614668823,Asia,Vietnam
Vietnam,2000,4.708729922497659,Asia,Vietnam
Vietnam,2010,4.237932082248031,Asia,Vietnam
Vietnam,2020,4.144753518647719,Asia,Vietnam
