race,fb,decade,fb_main,race_main,fb_race,fb_decade,race_decade,fb_race_decade,estimate,mult_effect,nativity,group
White,0,1970,0,0,0,0,0,0,0,1,US-born,White / US-born
White,0,1980,0,0,0,0,0,0,0,1,US-born,White / US-born
White,0,1990,0,0,0,0,0,0,0,1,US-born,White / US-born
White,0,2000,0,0,0,0,0,0,0,1,US-born,White / US-born
White,0,2010,0,0,0,0,0,0,0,1,US-born,White / US-born
White,0,2020,0,0,0,0,0,0,0,1,US-born,White / US-born
White,1,1970,-0.04787400146438668,0,0,0,0,0,-0.04787400146438668,0.953253888105038,Foreign-born,White / Foreign-born
White,1,1980,-0.04787400146438668,0,0,0.018708496965775763,0,0,-0.029165504498610918,0.9712557039753701,Foreign-born,White / Foreign-born
White,1,1990,-0.04787400146438668,0,0,0.017486076257295834,0,0,-0.030387925207090848,0.9700691462737119,Foreign-born,White / Foreign-born
White,1,2000,-0.04787400146438668,0,0,0.0024476186229624246,0,0,-0.04542638284142426,0.9555899477993354,Foreign-born,White / Foreign-born
White,1,2010,-0.04787400146438668,0,0,0.023008266581279774,0,0,-0.024865734883106907,0.9754408709190868,Foreign-born,White / Foreign-born
White,1,2020,-0.04787400146438668,0,0,0.032419376037547964,0,0,-0.015454625426838717,0.9846641844551863,Foreign-born,White / Foreign-born
Hispanic,0,1970,0,0.15655918737349084,0,0,0,0,0.15655918737349084,1.1694799787189447,US-born,Hispanic / US-born
Hispanic,0,1980,0,0.15655918737349084,0,0,-0.02203013650149157,0,0.13452905087199926,1.1439978926560066,US-born,Hispanic / US-born
Hispanic,0,1990,0,0.15655918737349084,0,0,0.008610529157047029,0,0.16516971653053786,1.1795932982060426,US-born,Hispanic / US-born
Hispanic,0,2000,0,0.15655918737349084,0,0,0.01785430387856143,0,0.17441349125205227,1.1905477451351936,US-born,Hispanic / US-born
Hispanic,0,2010,0,0.15655918737349084,0,0,-0.029744938832597254,0,0.12681424854089357,1.1352061320005165,US-born,Hispanic / US-born
Hispanic,0,2020,0,0.15655918737349084,0,0,-0.05114882064348062,0,0.10541036673001022,1.111166502571966,US-born,Hispanic / US-born
Hispanic,1,1970,-0.04787400146438668,0.15655918737349084,0.03350057657598804,0,0,0,0.14218576248509218,1.152790773927113,Foreign-born,Hispanic / Foreign-born
Hispanic,1,1980,-0.04787400146438668,0.15655918737349084,0.03350057657598804,0.018708496965775763,-0.02203013650149157,0.10606943706637555,0.2449335600157519,1.2775364308847834,Foreign-born,Hispanic / Foreign-born
Hispanic,1,1990,-0.04787400146438668,0.15655918737349084,0.03350057657598804,0.017486076257295834,0.008610529157047029,0.15835637411434428,0.3266387420137793,1.3863005745543526,Foreign-born,Hispanic / Foreign-born
Hispanic,1,2000,-0.04787400146438668,0.15655918737349084,0.03350057657598804,0.0024476186229624246,0.01785430387856143,0.1585126073467195,0.3210002923333355,1.3785059838769473,Foreign-born,Hispanic / Foreign-born
Hispanic,1,2010,-0.04787400146438668,0.15655918737349084,0.03350057657598804,0.023008266581279774,-0.029744938832597254,0.09245253345641075,0.22790162369018546,1.2559617624711497,Foreign-born,Hispanic / Foreign-born
Hispanic,1,2020,-0.04787400146438668,0.15655918737349084,0.03350057657598804,0.032419376037547964,-0.05114882064348062,0.08091304372509826,0.20436936160425778,1.2267511845704686,Foreign-born,Hispanic / Foreign-born
Black,0,1970,0,0.1773116202445187,0,0,0,0,0.1773116202445187,1.1940031107013376,US-born,Black / US-born
Black,0,1980,0,0.1773116202445187,0,0,-0.0287586905521229,0,0.14855292969239578,1.1601542027544227,US-born,Black / US-born
Black,0,1990,0,0.1773116202445187,0,0,-0.05423104364822333,0,0.12308057659629536,1.1309755474362146,US-born,Black / US-born
Black,0,2000,0,0.1773116202445187,0,0,-0.09797797923859185,0,0.07933364100592684,1.0825654500491497,US-born,Black / US-born
Black,0,2010,0,0.1773116202445187,0,0,-0.1516510189320061,0,0.025660601312512576,1.0259926688087895,US-born,Black / US-born
Black,0,2020,0,0.1773116202445187,0,0,-0.18892963816796665,0,-0.011618017923447965,0.9884492106406945,US-born,Black / US-born
Black,1,1970,-0.04787400146438668,0.1773116202445187,0.0091749333532716755,0,0,0,0.13861255213340368,1.1486789605623362,Foreign-born,Black / Foreign-born
Black,1,1980,-0.04787400146438668,0.1773116202445187,0.0091749333532716755,0.018708496965775763,-0.0287586905521229,-0.033022715335251016,0.09553964321180551,1.1002524387098442,Foreign-born,Black / Foreign-born
Black,1,1990,-0.04787400146438668,0.1773116202445187,0.0091749333532716755,0.017486076257295834,-0.05423104364822333,0.021601009621278332,0.12346859436375451,1.1314144711927827,Foreign-born,Black / Foreign-born
Black,1,2000,-0.04787400146438668,0.1773116202445187,0.0091749333532716755,0.0024476186229624246,-0.09797797923859185,0.07502187012084298,0.11810406163861722,1.1253612122061625,Foreign-born,Black / Foreign-born
Black,1,2010,-0.04787400146438668,0.1773116202445187,0.0091749333532716755,0.023008266581279774,-0.1516510189320061,0.08886935623197914,0.09883915601465648,1.103888731415944,Foreign-born,Black / Foreign-born
Black,1,2020,-0.04787400146438668,0.1773116202445187,0.0091749333532716755,0.032419376037547964,-0.18892963816796665,0.1160391679246618,0.0981414579276468,1.1031188189742143,Foreign-born,Black / Foreign-born
AAPI,0,1970,0,-0.022593995181489017,0,0,0,0,-0.022593995181489017,0.977659337607472,US-born,AAPI / US-born
AAPI,0,1980,0,-0.022593995181489017,0,0,0.049987998677480536,0,0.02739400349599152,1.0277726690235707,US-born,AAPI / US-born
AAPI,0,1990,0,-0.022593995181489017,0,0,0.09869830565804505,0,0.07610431047655603,1.0790751271277053,US-born,AAPI / US-born
AAPI,0,2000,0,-0.022593995181489017,0,0,0.13190317600346668,0,0.10930918082197766,1.1155071904597935,US-born,AAPI / US-born
AAPI,0,2010,0,-0.022593995181489017,0,0,0.10082823015419787,0,0.07823423497270884,1.0813759250672974,US-born,AAPI / US-born
AAPI,0,2020,0,-0.022593995181489017,0,0,0.08254287969148387,0,0.05994888450999485,1.0617822716371337,US-born,AAPI / US-born
AAPI,1,1970,-0.04787400146438668,-0.022593995181489017,0.1342801199278801,0,0,0,0.06381212328200442,1.0658921236346517,Foreign-born,AAPI / Foreign-born
AAPI,1,1980,-0.04787400146438668,-0.022593995181489017,0.1342801199278801,0.018708496965775763,0.049987998677480536,0.06606243793561509,0.1985710568608758,1.2196586894530608,Foreign-born,AAPI / Foreign-born
AAPI,1,1990,-0.04787400146438668,-0.022593995181489017,0.1342801199278801,0.017486076257295834,0.09869830565804505,0.009251138905296812,0.1892476441026421,1.2083401537467195,Foreign-born,AAPI / Foreign-born
AAPI,1,2000,-0.04787400146438668,-0.022593995181489017,0.1342801199278801,0.0024476186229624246,0.13190317600346668,-0.059121787807048215,0.13904113010138533,1.149171364566334,Foreign-born,AAPI / Foreign-born
AAPI,1,2010,-0.04787400146438668,-0.022593995181489017,0.1342801199278801,0.023008266581279774,0.10082823015419787,-0.0742905663477641,0.11335805366971796,1.1200328930492458,Foreign-born,AAPI / Foreign-born
AAPI,1,2020,-0.04787400146438668,-0.022593995181489017,0.1342801199278801,0.032419376037547964,0.08254287969148387,-0.06404005057513236,0.1147343284359039,1.1215754272892426,Foreign-born,AAPI / Foreign-born
