AGE,us_born,weighted_count,count,weighted_mean,nativity
22,TRUE,3714322,136110,3.4891509136795356,US-born
23,TRUE,3765186,140799,3.325790014092265,US-born
24,TRUE,3768375,142378,3.209998739509736,US-born
25,TRUE,3795038,145838,3.123356077066949,US-born
26,TRUE,3775647,147079,3.0819229128146777,US-born
27,TRUE,3794167,149714,3.082692195678261,US-born
28,TRUE,3798056,152262,3.0830856627706384,US-born
29,TRUE,3758908,152534,3.0992527617063255,US-born
30,TRUE,3849871,159025,3.1427564715804763,US-born
31,TRUE,3611782,152725,3.19226381880191,US-born
32,TRUE,3593220,152657,3.2691997706792235,US-born
33,TRUE,3508637,149861,3.330412065995998,US-born
34,TRUE,3435179,148167,3.3984645341625574,US-born
35,TRUE,3509566,149410,3.470649362342808,US-born
36,TRUE,3377658,146605,3.5163483099828343,US-born
37,TRUE,3334287,146119,3.54921816868194,US-born
38,TRUE,3306293,145019,3.568658918008779,US-born
39,TRUE,3239917,143293,3.6014015173845504,US-born
40,TRUE,3375748,146700,3.5857398123319633,US-born
41,TRUE,3119903,138745,3.5673843064992727,US-born
42,TRUE,3097781,136197,3.5402622070443326,US-born
43,TRUE,3011179,133512,3.509986619858866,US-born
44,TRUE,2964634,131977,3.4528697302938576,US-born
45,TRUE,2913827,132639,3.3751914578319164,US-born
46,TRUE,2884738,132141,3.305290116468116,US-born
47,TRUE,3017034,137843,3.2371507911412336,US-born
48,TRUE,3099195,142497,3.1393248892051,US-born
49,TRUE,3125389,146746,3.061439392024481,US-born
50,TRUE,3265056,155112,2.966146063038429,US-born
51,TRUE,3120692,153083,2.8915721256695632,US-born
52,TRUE,3154765,154537,2.8236971692027772,US-born
53,TRUE,3221474,157733,2.7436123960646586,US-born
54,TRUE,3269786,162005,2.6793906390204127,US-born
55,TRUE,3312384,170816,2.596230690644563,US-born
56,TRUE,3333254,176243,2.5269652417727544,US-born
57,TRUE,3438008,183453,2.47919958301435,US-born
58,TRUE,3499052,187912,2.412353403150339,US-born
59,TRUE,3508806,190185,2.3669068623343668,US-born
60,TRUE,3636499,196332,2.323485858238927,US-born
61,TRUE,3526329,195905,2.275818563724485,US-born
62,TRUE,3488047,196244,2.247573498866271,US-born
63,TRUE,3403002,195317,2.2168235575530075,US-born
64,TRUE,3351242,194220,2.1857538190318695,US-born
65,TRUE,3210394,193675,2.156040037453347,US-born
66,TRUE,3071197,187667,2.1345309337043505,US-born
67,TRUE,2974046,182254,2.1113610885641982,US-born
68,TRUE,2861295,176227,2.0930155751154635,US-born
69,TRUE,2796806,171779,2.074985894624082,US-born
70,TRUE,2759238,168819,2.066348390388941,US-born
71,TRUE,2626007,164026,2.0546719791683725,US-born
72,TRUE,2433166,153308,2.0379957635442874,US-born
73,TRUE,2223576,141786,2.019067034362666,US-born
74,TRUE,2136251,133156,2.004644117194094,US-born
75,TRUE,1965668,124273,1.9940966633225956,US-born
76,TRUE,1726170,109819,1.978197396548428,US-born
77,TRUE,1589664,101902,1.966131836664855,US-born
78,TRUE,1481795,94549,1.9601071673207158,US-born
79,TRUE,1355597,86211,1.9488011555056555,US-born
80,TRUE,1238713,77191,1.94460137255361,US-born
81,TRUE,1090341,68665,1.9173726384681489,US-born
82,TRUE,993963,62658,1.9129434395445304,US-born
83,TRUE,915089,57195,1.9060309980777825,US-born
84,TRUE,819621,50625,1.8790172530962481,US-born
85,TRUE,781278,44638,1.8724372118503272,US-born
86,TRUE,698402,40024,1.853856374981744,US-born
87,TRUE,627997,35440,1.8139943343678393,US-born
88,TRUE,544732,30646,1.8127097361638385,US-born
89,TRUE,433096,23833,1.7752068825387444,US-born
90,TRUE,309364,16644,1.7684766165423256,US-born
