AGE,immig_cohort,weighted_count,count,weighted_mean
64,1920s,40500,405,2.308641975308642
65,1920s,36647,377,2.3529893306409804
66,1920s,34127,365,2.308406833299147
67,1920s,30453,341,2.2620759859455553
68,1920s,26285,300,2.292448164352292
69,1920s,25196,313,2.0846959834894427
70,1920s,25341,329,2.276784657274772
71,1920s,21963,337,2.1795292082138142
72,1920s,19016,375,2.308529659234329
73,1920s,19776,443,2.337328074433657
74,1920s,19776,543,2.2077265372168284
75,1920s,18632,565,2.205613997423787
76,1920s,18514,629,2.114399913578913
77,1920s,18145,613,2.0265637916781483
78,1920s,19394,672,2.0424358048881097
79,1920s,18901,743,1.9256124014602403
80,1920s,17468,731,2.03835585069842
81,1920s,16635,711,1.965975353171025
82,1920s,17053,764,2.0820969917316603
83,1920s,16313,740,1.8355299454422853
84,1920s,16136,747,1.9090233019335647
85,1920s,16893,807,1.8286864381696561
86,1920s,17242,856,1.8920658856281174
87,1920s,15979,776,1.9068777770824206
88,1920s,15456,751,1.8458850931677018
89,1920s,13522,661,1.857639402455258
90,1920s,3737,186,1.750869681562751
91,1920s,943,44,1.943796394485684
92,1920s,2355,126,2.2259023354564755
93,1920s,43098,2179,1.9502761149009236
94,1920s,8186,444,1.77901294893721
30,1930s,3200,32,4.46875
31,1930s,3100,31,4.161290322580645
32,1930s,4000,40,3.9
33,1930s,4900,49,4.489795918367347
34,1930s,5200,52,4.326923076923077
35,1930s,4500,45,4.466666666666667
36,1930s,4000,40,4.6
37,1930s,3500,35,5.0285714285714285
38,1930s,5000,50,4.18
39,1930s,4700,47,4.48936170212766
40,1930s,5300,53,4.547169811320755
41,1930s,5800,58,4.586206896551724
42,1930s,5800,58,4.4655172413793105
43,1930s,5400,54,3.962962962962963
44,1930s,8200,82,4.280487804878049
45,1930s,8800,88,4.181818181818182
46,1930s,7700,77,3.792207792207792
47,1930s,11300,113,3.814159292035398
48,1930s,11300,113,3.646017699115044
49,1930s,11500,115,3.5217391304347827
50,1930s,11800,118,3.7203389830508473
51,1930s,7100,71,3.380281690140845
52,1930s,7200,72,3.5555555555555554
53,1930s,7000,70,3.2142857142857144
54,1930s,9000,90,2.6555555555555554
55,1930s,10800,108,2.9074074074074074
56,1930s,9300,93,2.78494623655914
57,1930s,8500,85,2.6823529411764704
58,1930s,10100,101,2.722772277227723
59,1930s,8500,85,2.6470588235294117
60,1930s,7400,74,2.5405405405405403
61,1930s,8667,128,2.4364832121841467
62,1930s,10845,178,2.4221300138312585
63,1930s,10822,212,2.318425429680281
64,1930s,10933,230,2.305771517424312
65,1930s,11118,282,2.2343047310667385
66,1930s,11937,293,2.0599815699086874
67,1930s,11666,333,2.1238642208126177
68,1930s,12421,370,2.140085339344658
69,1930s,12744,388,2.1228813559322033
70,1930s,12702,400,2.0969138718312075
71,1930s,12111,462,2.247543555445463
72,1930s,12535,499,2.0185081771041085
73,1930s,13783,530,1.933323659580643
74,1930s,14742,578,2.0875050875050873
75,1930s,13330,618,1.9321080270067517
76,1930s,13938,648,1.9735256134309083
77,1930s,13357,629,2.006363704424646
78,1930s,15431,713,2.0935778627438273
79,1930s,15176,704,1.9215867158671587
80,1930s,15106,704,2.085065536872766
81,1930s,15242,728,1.8989633906311507
82,1930s,15054,699,1.915703467516939
83,1930s,17950,742,2.1335933147632313
84,1930s,16324,718,2.02542269051703
85,1930s,15197,701,1.8814897677173126
86,1930s,13864,613,1.911136757068667
87,1930s,16675,618,1.944887556221889
88,1930s,12449,549,1.9082657241545506
89,1930s,10841,496,1.827875657227193
90,1930s,6963,227,1.8240700847335918
91,1930s,2635,109,1.9407969639468692
92,1930s,4730,177,2.271881606765328
93,1930s,16972,821,1.9499175111949092
94,1930s,23193,765,1.9617125856939595
95,1930s,10453,376,1.8228259829713958
21,1940s,8000,80,3.5375
22,1940s,11600,116,3.2844827586206895
23,1940s,13900,139,3.366906474820144
24,1940s,13400,134,3.0671641791044775
25,1940s,14300,143,3.3146853146853146
26,1940s,8100,81,3.506172839506173
27,1940s,8000,80,3.6625
28,1940s,7500,75,3.52
29,1940s,5800,58,3.689655172413793
30,1940s,13520,336,3.7840236686390534
31,1940s,17820,591,3.67003367003367
32,1940s,22100,793,3.6814479638009048
