educ,decade,main_coef,interaction_coef,estimate,mult_effect
college_4yr+,1970,0,0,0,1
college_4yr+,1980,0,0,0,1
college_4yr+,1990,0,0,0,1
college_4yr+,2000,0,0,0,1
college_4yr+,2010,0,0,0,1
college_4yr+,2020,0,0,0,1
some_college,1970,6.802159359191223e-4,0,6.802159359191223e-4,1.000680447335243
some_college,1980,6.802159359191223e-4,0.03318685818402389,0.03386707411994302,1.0344470927985576
some_college,1990,6.802159359191223e-4,0.046691913914979996,0.04737212985089912,1.0485121191479174
some_college,2000,6.802159359191223e-4,0.04124675098928093,0.04192696692520005,1.0428183157415314
some_college,2010,6.802159359191223e-4,0.04024584835655046,0.04092606429246958,1.0417750783204802
some_college,2020,6.802159359191223e-4,0.0416685866408178,0.04234880257673693,1.0432583064805523
hs_or_less,1970,0.10725675382318893,0,0.10725675382318893,1.1132200412909794
hs_or_less,1980,0.10725675382318893,0.02866853720995576,0.13592529103314469,1.1455963040814383
hs_or_less,1990,0.10725675382318893,0.004828581093654466,0.1120853349168434,1.1186083129196447
hs_or_less,2000,0.10725675382318893,6.472003872098141e-4,0.10790395421039875,1.1139407509293742
hs_or_less,2010,0.10725675382318893,-0.0026765122325766084,0.10458024159061233,1.110244478074929
hs_or_less,2020,0.10725675382318893,0.0013051718559426192,0.10856192567913155,1.1146739333414477
